order_id,customer_id,bid_id,product_id,shipping_id,quantity,order_date
1,24,9,1,1,1,2024-11-18 02:00:00
2,3,18,2,2,1,2024-11-10 02:00:00
3,12,30,5,3,1,2024-10-02 02:00:00
4,13,43,8,4,1,2024-10-11 02:00:00
5,25,50,21,5,1,2024-11-27 02:00:00
6,20,61,27,6,1,2024-10-07 02:00:00
7,15,69,3,7,1,2024-10-02 02:00:00
8,14,73,4,8,1,2024-11-03 02:00:00
9,16,78,12,9,1,2024-12-07 02:00:00
10,8,84,15,10,1,2024-12-14 02:00:00
11,13,92,16,11,1,2024-10-09 02:00:00
12,18,97,17,12,1,2024-10-14 02:00:00
13,18,101,22,13,1,2024-12-04 02:00:00
14,2,106,25,14,1,2024-11-24 02:00:00
15,21,114,29,15,1,2024-10-20 02:00:00
16,6,116,30,16,1,2024-10-29 02:00:00
17,1,120,10,17,1,2024-11-05 02:00:00
18,4,126,9,18,1,2024-12-05 02:00:00
19,19,128,26,19,1,2024-10-01 02:00:00
20,3,131,14,20,1,2024-11-08 02:00:00
21,13,135,6,21,1,2024-10-23 02:00:00
22,10,139,24,22,1,2024-12-26 02:00:00
23,24,142,13,23,1,2024-11-12 02:00:00
24,8,144,23,24,1,2024-10-19 02:00:00
25,8,146,28,25,1,2024-10-10 02:00:00
26,14,,19,26,3,2024-12-13 00:00:00
27,23,,11,27,3,2024-11-19 00:00:00
28,13,,19,28,1,2024-10-19 00:00:00
29,25,,7,29,1,2024-11-24 00:00:00
30,6,,11,30,3,2024-12-06 00:00:00
31,2,,19,31,3,2024-11-01 00:00:00
32,15,,7,32,1,2024-11-29 00:00:00
33,18,,20,33,3,2024-11-10 00:00:00
34,20,,19,34,3,2024-12-04 00:00:00
35,18,,19,35,2,2024-10-21 00:00:00
36,15,,19,36,2,2024-11-01 00:00:00
37,25,,18,37,3,2024-12-02 00:00:00
38,9,,11,38,2,2024-10-10 00:00:00
39,8,,18,39,2,2024-11-12 00:00:00
40,18,,18,40,1,2024-10-18 00:00:00
41,8,,11,41,2,2024-12-28 00:00:00
42,23,,11,42,1,2024-10-09 00:00:00
43,14,,19,43,2,2024-12-09 00:00:00
44,14,,19,44,1,2024-10-27 00:00:00
45,13,,19,45,3,2024-12-29 00:00:00
46,25,,7,46,3,2024-11-18 00:00:00
47,1,,19,47,2,2024-11-08 00:00:00
48,14,,19,48,3,2024-12-09 00:00:00
49,8,,20,49,2,2024-10-29 00:00:00
50,14,,18,50,2,2024-10-04 00:00:00
51,11,,19,51,3,2024-12-26 00:00:00
52,24,,19,52,1,2024-11-29 00:00:00
53,20,,11,53,3,2024-10-04 00:00:00
54,19,,19,54,3,2024-12-24 00:00:00
55,3,,7,55,3,2024-11-24 00:00:00
